"Test Number"|"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Kingdom "|" Species Phylum "|" Species Sub Phylum "|" Species Superclass "|" Species Class "|" Species Order "|" Species Family "|" Species Genus "|" Species "|" Variety"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Age Units"|"Organism Source"|" Organism Initial Weight Mean Op "|" Organism Initial Weight Mean "|" Organism Initial Weight Min Op "|" Organism Initial Weight Min "|" Organism Initial Weight Max Op "|" Organism Initial Weight Max "|" Organism Initial Weight Units"|Gender|"Organism Comment"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|"Conc 1 Type (Standardized) "|" Conc 1 Mean Op (Standardized) "|" Conc 1 Mean (Standardized) "|" Conc 1 Min Op (Standardized) "|" Conc Min 1 (Standardized) "|" Conc 1 Max Op (Standardized) "|" Conc 1 Max (Standardized) "|" Conc 1 Units (Standardized) "|" Conc 2 Type (Standardized) "|" Conc 2 Mean Op (Standardized) "|" Conc 2 Mean (Standardized) "|" Conc 2 Min Op (Standardized) "|" Conc Min 2 (Standardized) "|" Conc 2 Max Op (Standardized) "|" Conc 2 Max (Standardized) "|" Conc 2 Units (Standardized) "|" Conc 3 Type (Standardized) "|" Conc 3 Mean Op (Standardized) "|" Conc 3 Mean (Standardized) "|" Conc 3 Min Op (Standardized) "|" Conc Min 3 (Standardized) "|" Conc 3 Max Op (Standardized) "|" Conc 3 Max (Standardized) "|" Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|"EE Comment"|Endpoint|"Response Site"|"Statistical Significance "|" Significance Level Mean Op "|" Significance Level Mean "|" Significance Level Min Op "|" Significance Level Min "|" Significance Level Max Op "|" Significance Level Max"|" Observed Duration Mean Op (Days) "|" Observed Duration Mean (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Chemical Formulation"|"Chemical Comment"|"Species NCBI TaxID"|Control|"Test Type"|Doses|"Experimental Design"|"Other Effects"|"Result Comment"|" Temperature Mean Op "|" Temperature Mean "|" Temperature Min Op "|" Temperature Min "|" Temperature Max Op "|" Temperature Max "|" Temperature Units"|" Dissolved Oxygen Mean Op "|" Dissolved Oxygen Mean "|" Dissolved Oxygen Min Op "|" Dissolved Oxygen Min "|" Dissolved Oxygen Max Op "|" Dissolved Oxygen Max "|" Dissolved Oxygen Units"|" pH Mean Op "|" pH Mean "|" pH Min Op "|" pH Min "|" pH Max Op "|" pH Max"|" Conductivity Mean Op "|" Conductivity Mean "|" Conductivity Min Op "|" Conductivity Min "|" Conductivity Max Op "|" Conductivity Max "|" Conductivity Units"|"General Comments"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
1061581|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Gastrophryne carolinensis|Eastern Narrow-Mouthed Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Microhylidae|Gastrophryne|carolinensis||Amphibians|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|FERTILIZATION THROUGH 4 DPH|Renewal|Fresh water|Lab|NR|Total||1||NR||NR|ug/L|||||||||||||||||Total||0.001||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||7||NR||NR|Day(s)|Not reported|NR|8429|Concurrent control|Not coded|||LC1, MEAN TOXICITY INDEX, PHENOL,MIXTURE| NR|||||||NR|||||||SAT||||7.0||7.8|||||||NR|   NR|Birge,W.J., J.A. Black, and A.G. Westerman|4943|Evaluation of Aquatic Pollutants Using Fish and Amphibian Eggs as Bioassay Organisms|In: S.W.Nielsen, G.Migaki, and D.G.Scarpelli (Eds.), Symp.Animals Monitors Environ.Pollut.1977, Storrs, CT12:108-118|1979|
1031417|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Gammarus sp.|Scud, Amphipod|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Gammaridae|Gammarus|sp.||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||10||NR||NR|ug/L|||||||||||||||||Total||0.01||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|45625|Insufficient|Not coded|||| ||17|||||C||6.2|||||mg/L||7.6|||||||||||NR|   |Rehwoldt,R., L. Lasko, C. Shaw, and E. Wirhowski|2020|The Acute Toxicity of Some Heavy Metal Ions Toward Benthic Organisms|Bull. Environ. Contam. Toxicol.10(5): 291-294|1973|
1031416|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Gammarus sp.|Scud, Amphipod|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Gammaridae|Gammarus|sp.||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||90||NR||NR|ug/L|||||||||||||||||Total||0.09||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR|45625|Insufficient|Not coded|||| ||17|||||C||6.2|||||mg/L||7.6|||||||||||NR|   |Rehwoldt,R., L. Lasko, C. Shaw, and E. Wirhowski|2020|The Acute Toxicity of Some Heavy Metal Ions Toward Benthic Organisms|Bull. Environ. Contam. Toxicol.10(5): 291-294|1973|
1135358|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Caridina rajadhari|Freshwater Prawn|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Atyidae|Caridina|rajadhari||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||4.786||NR||NR|ug/L|||||||||||||||||Total||0.004786||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR||Insufficient|Not coded|||| ||26|||||C|||||||NR|||||||||||||NR|   |Sarojini,R., and B. Victor|11025|Toxicity of Mercury on the Ovaries of the Caridean Prawn, Caridina rajadhari (Bouvier)|Curr. Sci. (Bangalore)54(8): 398-400|1985|
1135357|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Caridina rajadhari|Freshwater Prawn|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Atyidae|Caridina|rajadhari||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||5.784||NR||NR|ug/L|||||||||||||||||Total||0.005784||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||3||NR||NR|Day(s)|Not reported|NR||Insufficient|Not coded|||| ||26|||||C|||||||NR|||||||||||||NR|   |Sarojini,R., and B. Victor|11025|Toxicity of Mercury on the Ovaries of the Caridean Prawn, Caridina rajadhari (Bouvier)|Curr. Sci. (Bangalore)54(8): 398-400|1985|
1135356|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Caridina rajadhari|Freshwater Prawn|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Atyidae|Caridina|rajadhari||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||6.918||NR||NR|ug/L|||||||||||||||||Total||0.006918||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|NR||Insufficient|Not coded|||| ||26|||||C|||||||NR|||||||||||||NR|   |Sarojini,R., and B. Victor|11025|Toxicity of Mercury on the Ovaries of the Caridean Prawn, Caridina rajadhari (Bouvier)|Curr. Sci. (Bangalore)54(8): 398-400|1985|
1153420|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Cyclops sp.|Cyclopoid Copepod|Animalia|Arthropoda|Crustacea||Maxillopoda|Cyclopoida|Cyclopidae|Cyclops|sp.||Crustaceans|Adult||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||600||NR||NR|ug/L|||||||||||||||||Total||0.6||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|HG (II)|263416|Insufficient|Not coded|||TOXIC BEH, SAFE CONC, APPLICATION FACTOR| |||||||NR|||||||NR|||||||||||||NR|   |Abbasi,S.A., P.C. Nipaney, and R. Soni|13255|Studies on Environmental Management of Mercury (II), Chromium (VI) and Zinc (II) with Respect to the Impact on Some Arthropods and Protozoans - Toxicity of Zinc (II)|Int. J. Environ. Stud.32:181-187|1988|
1135360|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Caridina rajadhari|Freshwater Prawn|Animalia|Arthropoda|Crustacea||Malacostraca|Decapoda|Atyidae|Caridina|rajadhari||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||9.120||NR||NR|ug/L|||||||||||||||||Total||0.00912||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR||Insufficient|Not coded|||| ||26|||||C|||||||NR|||||||||||||NR|   |Sarojini,R., and B. Victor|11025|Toxicity of Mercury on the Ovaries of the Caridean Prawn, Caridina rajadhari (Bouvier)|Curr. Sci. (Bangalore)54(8): 398-400|1985|
1243767|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Hyalella azteca|Scud|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Hyalellidae|Hyalella|azteca||Crustaceans; Standard Test Species|Young||NR||1||11|Day(s)|Laboratory||NC||NC||NC|NC|Not reported|NR|Static|Fresh water|Lab|NR|Total||8.4||6.9||10.2|ug/L|||||||||||||||||Total||0.0084||0.0069||0.0102|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||7||NR||NR|Day(s)|Not reported|NR|294128|Multiple types of controls were reported by the author|Not coded||2 REPLICATES, SOFT WATER|HARDNESS EFCTS| CONTR/C,V//TESTID/137//MSMT/NR//DOSES/NR//SOURCE/LAB//WTINT/NR//DNUM/NR//SEX/NR//TMETH/NR//STYPE/ACUTE//ETIME/7 D//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/1.4* MG/L//CL/2.5* MG/LNR//DIC/NR//CA/5.6* MG/L//POT/0.15* MG/L//MG/0.90* MG/L//SO4/3.4* MG/L//SULF/NR//||||24||25|C|||||||NR||7.39||6.44||8.52||66||35||235|uS/cm2|   CONTR/C,V//TESTID/137//MSMT/NR//DOSES/NR//SOURCE/LAB//WTINT/NR//DNUM/NR//SEX/NR//TMETH/NR//STYPE/ACUTE//ETIME/7 D//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/1.4* MG/L//CL/2.5* MG/LNR//DIC/NR//CA/5.6* MG/L//POT/0.15* MG/L//MG/0.90* MG/L//SO4/3.4* MG/L//SULF/NR//|Borgmann,U., Y. Couillard, P. Doyle, and D.G. Dixon|80935|Toxicity of Sixty-Three Metals and Metalloids to Hyalella azteca at Two Levels of Water Hardness|Environ. Toxicol. Chem.24(3): 641-652|2005|
1243768|7439976|Mercury|Not reported|Measured|Not coded||NR||NR||NR|Hyalella azteca|Scud|Animalia|Arthropoda|Crustacea||Malacostraca|Amphipoda|Hyalellidae|Hyalella|azteca||Crustaceans; Standard Test Species|Young||NR||1||11|Day(s)|Laboratory||NC||NC||NC|NC|Not reported|NR|Static|Fresh water|Lab|NR|Total||2.1||1.9||2.5|ug/L|||||||||||||||||Total||0.0021||0.0019||0.0025|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||7||NR||NR|Day(s)|Not reported|NR|294128|Multiple types of controls were reported by the author|Not coded||2 REPLICATES, TAP (LAKE ONTARIO) WATER|HARDNESS EFCTS| CONTR/C,V//TESTID/138//MSMT/NR//DOSES/NR//SOURCE/LAB//WTINT/NR//DNUM/NR//SEX/NR//TMETH/NR//STYPE/ACUTE//ETIME/7 D//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/13* MG/L//CL/25* MG/L//DIC/NR//CA/35* MG/L//POT/1.6* MG/L//MG/8.7* MG/L//SO4/32* MG/L//SULF/NR//||||24||25|C|||||||NR||8.21||7.23||8.83||345||288||958|uS/cm2|   CONTR/C,V//TESTID/138//MSMT/NR//DOSES/NR//SOURCE/LAB//WTINT/NR//DNUM/NR//SEX/NR//TMETH/NR//STYPE/ACUTE//ETIME/7 D//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/13* MG/L//CL/25* MG/L//DIC/NR//CA/35* MG/L//POT/1.6* MG/L//MG/8.7* MG/L//SO4/32* MG/L//SULF/NR//|Borgmann,U., Y. Couillard, P. Doyle, and D.G. Dixon|80935|Toxicity of Sixty-Three Metals and Metalloids to Hyalella azteca at Two Levels of Water Hardness|Environ. Toxicol. Chem.24(3): 641-652|2005|
2093754|7439976|Mercury|Not reported|Unmeasured|United States Environmental Protection Agency||NR||NR||NR|Daphnia pulex|Water Flea|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Daphnia|pulex||Crustaceans; Standard Test Species|Not reported|<=|24||NR||NR|Hour(s)|Not reported||NR||NR||NR|NR|Not reported|NR|Aquatic - not reported|Fresh water|Lab|NR|Total||0.004||NR||NR|mg/L|||||||||||||||||Total||0.004||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|NR|6669|Concurrent control|Acute|||BACTERIA, EFFLUENT| ||20|||||C|||||||NR|||||||||||||NR|   |Slabbert,J.L., and E.A. Venter|61447|Biological Assays for Aquatic Toxicity Testing|Water Sci. Technol.39(10/11): 367-373|1999|
1104126|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Channa striata|Snake-Head Catfish|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Channidae|Channa|striata||Fish|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|8-12 G|Static|Fresh water|Lab|NR|Total||3787||NR||NR|ug/L|||||||||||||||||Total||3.787||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||60.88||NR||NR|Day(s)|Not reported|NR|64152|Insufficient|Not coded||STARVED|| |||||||NR|||||||NR|||||||||||||NR|   |Gopal,V., and K. Maheswari Devi|7624|Influence of Nutritional Status on the Median Tolerance Limits (LC50) of Ophiocephalus striatus for Certain Heavy Metal and Pesticide Toxicants|Indian J. Environ. Health33(3): 393-394|1991|
1211344|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Labeo rohita|Rohu|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Labeo|rohita||Fish|Fingerling||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Not reported|Fresh water|Lab|NR|Total||21.1||NR||NR|ug/L|||||||||||||||||Total||0.0211||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|84645|Not reported|Not coded|||| ||25.4|||||C||||7.2||7.4|mg/L|||||||||||||NR|   |Jagadeesan,G., and S. Vijayalakshmi|19526|Evaluation of Mercury Toxicity on the Fish Labeo rohita (Ham.) Fingerlings in a Calendar Year|Environ. Ecol.16(4): 885-890|1998|
1104123|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Channa striata|Snake-Head Catfish|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Channidae|Channa|striata||Fish|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|8-12 G|Static|Fresh water|Lab|NR|Total||6148||NR||NR|ug/L|||||||||||||||||Total||6.148||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||3||NR||NR|Day(s)|Not reported|NR|64152|Insufficient|Not coded||WELL FED|| |||||||NR|||||||NR|||||||||||||NR|   |Gopal,V., and K. Maheswari Devi|7624|Influence of Nutritional Status on the Median Tolerance Limits (LC50) of Ophiocephalus striatus for Certain Heavy Metal and Pesticide Toxicants|Indian J. Environ. Health33(3): 393-394|1991|
1030674|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Anguilla rostrata|American Eel|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Anguilliformes|Anguillidae|Anguilla|rostrata||Fish|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||0.14||NR||NR|ppm|||||||||||||||||Total||0.14||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TLM////|LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|7938|Not reported|Not coded|||TOXICITY RATIOS| ||28|||||C||6.9|||||mg/L||8.0|||||||||||NR|   |Rehwoldt,R., L.W. Menapace, B. Nerrie, and D. Allessandrello|2002|The Effect of Increased Temperature upon the Acute Toxicity of Some Heavy Metal Ions|Bull. Environ. Contam. Toxicol.8(2): 91-96|1972|
1188271|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Heteropneustes fossilis|Indian Catfish|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Siluriformes|Heteropneustidae|Heteropneustes|fossilis||Fish|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Not reported|Fresh water|Lab|NR|Total||99||NR||NR|ug/L|||||||||||||||||Total||0.099||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|93621|Not reported|Not coded|||DEPURATION| |||||||NR|||||||NR|||||||||||||NR|   |James,R., K. Sampath, and G. Devakiamma|16825|Accumulation and Depuration of Mercury in a Catfish Heteropneustes fossilis (Pisces: Heteropneustidae) Exposed to Sublethal Doses of the Element|Asian Fish. Sci.6(2): 183-191|1993|
1211343|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Labeo rohita|Rohu|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Labeo|rohita||Fish|Fingerling||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Not reported|Fresh water|Lab|NR|Total||21.5||NR||NR|ug/L|||||||||||||||||Total||0.0215||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|84645|Not reported|Not coded|||| ||24.9|||||C||||7.2||7.4|mg/L|||||||||||||NR|   |Jagadeesan,G., and S. Vijayalakshmi|19526|Evaluation of Mercury Toxicity on the Fish Labeo rohita (Ham.) Fingerlings in a Calendar Year|Environ. Ecol.16(4): 885-890|1998|
1211345|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Labeo rohita|Rohu|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Labeo|rohita||Fish|Fingerling||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Not reported|Fresh water|Lab|NR|Total||20.7||NR||NR|ug/L|||||||||||||||||Total||0.0207||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|84645|Not reported|Not coded|||| ||26.8|||||C||||7.2||7.4|mg/L|||||||||||||NR|   |Jagadeesan,G., and S. Vijayalakshmi|19526|Evaluation of Mercury Toxicity on the Fish Labeo rohita (Ham.) Fingerlings in a Calendar Year|Environ. Ecol.16(4): 885-890|1998|
1104127|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Channa striata|Snake-Head Catfish|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Channidae|Channa|striata||Fish|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|8-12 G|Static|Fresh water|Lab|NR|Total||1571||NR||NR|ug/L|||||||||||||||||Total||1.571||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||91.32||NR||NR|Day(s)|Not reported|NR|64152|Insufficient|Not coded||STARVED|| |||||||NR|||||||NR|||||||||||||NR|   |Gopal,V., and K. Maheswari Devi|7624|Influence of Nutritional Status on the Median Tolerance Limits (LC50) of Ophiocephalus striatus for Certain Heavy Metal and Pesticide Toxicants|Indian J. Environ. Health33(3): 393-394|1991|
1030672|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Anguilla rostrata|American Eel|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Anguilliformes|Anguillidae|Anguilla|rostrata||Fish|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||0.25||NR||NR|ppm|||||||||||||||||Total||0.25||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TLM////|LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR|7938|Not reported|Not coded|||TOXICITY RATIOS| ||28|||||C||6.9|||||mg/L||8.0|||||||||||NR|   |Rehwoldt,R., L.W. Menapace, B. Nerrie, and D. Allessandrello|2002|The Effect of Increased Temperature upon the Acute Toxicity of Some Heavy Metal Ions|Bull. Environ. Contam. Toxicol.8(2): 91-96|1972|
1030669|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Morone americana|White Perch|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Moronidae|Morone|americana||Fish|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||0.42||NR||NR|ppm|||||||||||||||||Total||0.42||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TLM////|LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR|46260|Not reported|Not coded|||TOXICITY RATIOS| ||28|||||C||6.9|||||mg/L||8.0|||||||||||NR|   |Rehwoldt,R., L.W. Menapace, B. Nerrie, and D. Allessandrello|2002|The Effect of Increased Temperature upon the Acute Toxicity of Some Heavy Metal Ions|Bull. Environ. Contam. Toxicol.8(2): 91-96|1972|
1211338|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Labeo rohita|Rohu|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Labeo|rohita||Fish|Fingerling||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Not reported|Fresh water|Lab|NR|Total||18.3||NR||NR|ug/L|||||||||||||||||Total||0.0183||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|84645|Not reported|Not coded|||| ||28.5|||||C||||7.2||7.4|mg/L|||||||||||||NR|   |Jagadeesan,G., and S. Vijayalakshmi|19526|Evaluation of Mercury Toxicity on the Fish Labeo rohita (Ham.) Fingerlings in a Calendar Year|Environ. Ecol.16(4): 885-890|1998|
1211334|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Labeo rohita|Rohu|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Labeo|rohita||Fish|Fingerling||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Not reported|Fresh water|Lab|NR|Total||16.3||NR||NR|ug/L|||||||||||||||||Total||0.0163||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|84645|Not reported|Not coded|||| ||32.7|||||C||||7.2||7.4|mg/L|||||||||||||NR|   |Jagadeesan,G., and S. Vijayalakshmi|19526|Evaluation of Mercury Toxicity on the Fish Labeo rohita (Ham.) Fingerlings in a Calendar Year|Environ. Ecol.16(4): 885-890|1998|
1211335|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Labeo rohita|Rohu|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Labeo|rohita||Fish|Fingerling||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Not reported|Fresh water|Lab|NR|Total||16.8||NR||NR|ug/L|||||||||||||||||Total||0.0168||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|84645|Not reported|Not coded|||| ||31.8|||||C||||7.2||7.4|mg/L|||||||||||||NR|   |Jagadeesan,G., and S. Vijayalakshmi|19526|Evaluation of Mercury Toxicity on the Fish Labeo rohita (Ham.) Fingerlings in a Calendar Year|Environ. Ecol.16(4): 885-890|1998|
